"","year","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha"
"38",1850,"4_51",4,5,1,"RR50-CR",2.202,NA,NA,60.168
"39",1850,"4_52",4,5,2,"RR25-CR",2.202,NA,NA,60.168
"40",1850,"4_53",4,5,3,"RR00-CR",2.202,NA,NA,60.168
"41",1850,"5_1",5,1,NA,"CR",2.202,NA,NA,60.168
"42",1850,"5_2",5,2,NA,"NT-CR",2.135,NA,NA,60.648
"43",1850,"5_3",5,3,NA,"CC-CR",2.185,NA,NA,60.861
"44",1850,"5_41",5,4,1,"RF05-CR",2.202,NA,NA,60.168
"45",1850,"5_42",5,4,2,"RF15-CR",2.202,NA,NA,60.168
"46",1850,"5_43",5,4,3,"RF25-CR",2.202,NA,NA,60.168
"47",1850,"5_44",5,4,4,"RF35-CR",2.202,NA,NA,60.168
"48",1850,"5_51",5,5,1,"RR50-CR",2.202,NA,NA,60.168
"49",1850,"5_52",5,5,2,"RR25-CR",2.202,NA,NA,60.168
"50",1850,"5_53",5,5,3,"RR00-CR",2.202,NA,NA,60.168
"51",1851,"1_1",1,1,NA,"CR",2.773,NA,NA,59.174
"52",1851,"1_2",1,2,NA,"NT-CR",2.729,NA,NA,60.028
"53",1851,"1_3",1,3,NA,"CC-CR",2.773,NA,NA,60.107
"54",1851,"1_41",1,4,1,"RF05-CR",2.773,NA,NA,59.174
"55",1851,"1_42",1,4,2,"RF15-CR",2.773,NA,NA,59.174
"56",1851,"1_43",1,4,3,"RF25-CR",2.773,NA,NA,59.174
"57",1851,"1_44",1,4,4,"RF35-CR",2.773,NA,NA,59.174
"58",1851,"1_51",1,5,1,"RR50-CR",2.773,NA,NA,59.174
"59",1851,"1_52",1,5,2,"RR25-CR",2.773,NA,NA,59.174
"60",1851,"1_53",1,5,3,"RR00-CR",2.773,NA,NA,59.174
"61",1851,"2_1",2,1,NA,"CR",2.773,NA,NA,59.174
"62",1851,"2_2",2,2,NA,"NT-CR",2.729,NA,NA,60.028
"63",1851,"2_3",2,3,NA,"CC-CR",2.773,NA,NA,60.107
"64",1851,"2_41",2,4,1,"RF05-CR",2.773,NA,NA,59.174
"65",1851,"2_42",2,4,2,"RF15-CR",2.773,NA,NA,59.174
"66",1851,"2_43",2,4,3,"RF25-CR",2.773,NA,NA,59.174
"67",1851,"2_44",2,4,4,"RF35-CR",2.773,NA,NA,59.174
"68",1851,"2_51",2,5,1,"RR50-CR",2.773,NA,NA,59.174
"69",1851,"2_52",2,5,2,"RR25-CR",2.773,NA,NA,59.174
"70",1851,"2_53",2,5,3,"RR00-CR",2.773,NA,NA,59.174
"71",1851,"3_1",3,1,NA,"CR",2.773,NA,NA,59.174
"72",1851,"3_2",3,2,NA,"NT-CR",2.729,NA,NA,60.028
"73",1851,"3_3",3,3,NA,"CC-CR",2.773,NA,NA,60.107
"74",1851,"3_41",3,4,1,"RF05-CR",2.773,NA,NA,59.174
"75",1851,"3_42",3,4,2,"RF15-CR",2.773,NA,NA,59.174
"76",1851,"3_43",3,4,3,"RF25-CR",2.773,NA,NA,59.174
"77",1851,"3_44",3,4,4,"RF35-CR",2.773,NA,NA,59.174
"78",1851,"3_51",3,5,1,"RR50-CR",2.773,NA,NA,59.174
"79",1851,"3_52",3,5,2,"RR25-CR",2.773,NA,NA,59.174
"80",1851,"3_53",3,5,3,"RR00-CR",2.773,NA,NA,59.174
"81",1851,"4_1",4,1,NA,"CR",2.773,NA,NA,59.174
"82",1851,"4_2",4,2,NA,"NT-CR",2.729,NA,NA,60.028
"83",1851,"4_3",4,3,NA,"CC-CR",2.773,NA,NA,60.107
"84",1851,"4_41",4,4,1,"RF05-CR",2.773,NA,NA,59.174
"85",1851,"4_42",4,4,2,"RF15-CR",2.773,NA,NA,59.174
"86",1851,"4_43",4,4,3,"RF25-CR",2.773,NA,NA,59.174
"87",1851,"4_44",4,4,4,"RF35-CR",2.773,NA,NA,59.174
"88",1851,"4_51",4,5,1,"RR50-CR",2.773,NA,NA,59.174
"89",1851,"4_52",4,5,2,"RR25-CR",2.773,NA,NA,59.174
"90",1851,"4_53",4,5,3,"RR00-CR",2.773,NA,NA,59.174
"91",1851,"5_1",5,1,NA,"CR",2.773,NA,NA,59.174
"92",1851,"5_2",5,2,NA,"NT-CR",2.729,NA,NA,60.028
"93",1851,"5_3",5,3,NA,"CC-CR",2.773,NA,NA,60.107
"94",1851,"5_41",5,4,1,"RF05-CR",2.773,NA,NA,59.174
"95",1851,"5_42",5,4,2,"RF15-CR",2.773,NA,NA,59.174
"96",1851,"5_43",5,4,3,"RF25-CR",2.773,NA,NA,59.174
"97",1851,"5_44",5,4,4,"RF35-CR",2.773,NA,NA,59.174
"98",1851,"5_51",5,5,1,"RR50-CR",2.773,NA,NA,59.174
"99",1851,"5_52",5,5,2,"RR25-CR",2.773,NA,NA,59.174
"100",1851,"5_53",5,5,3,"RR00-CR",2.773,NA,NA,59.174
"101",1852,"1_1",1,1,NA,"CR",2.325,NA,NA,57.647
"102",1852,"1_2",1,2,NA,"NT-CR",2.352,NA,NA,58.582
"103",1852,"1_3",1,3,NA,"CC-CR",2.366,NA,NA,58.561
"104",1852,"1_41",1,4,1,"RF05-CR",2.325,NA,NA,57.36
"105",1852,"1_42",1,4,2,"RF15-CR",2.325,NA,NA,57.36
"106",1852,"1_43",1,4,3,"RF25-CR",2.325,NA,NA,57.36
"107",1852,"1_44",1,4,4,"RF35-CR",2.325,NA,NA,57.36
"108",1852,"1_51",1,5,1,"RR50-CR",2.325,NA,NA,57.36
"109",1852,"1_52",1,5,2,"RR25-CR",2.325,NA,NA,57.36
"110",1852,"1_53",1,5,3,"RR00-CR",2.325,NA,NA,57.36
"111",1852,"2_1",2,1,NA,"CR",2.325,NA,NA,57.647
"112",1852,"2_2",2,2,NA,"NT-CR",2.352,NA,NA,58.582
"113",1852,"2_3",2,3,NA,"CC-CR",2.366,NA,NA,58.561
"114",1852,"2_41",2,4,1,"RF05-CR",2.325,NA,NA,57.36
"115",1852,"2_42",2,4,2,"RF15-CR",2.325,NA,NA,57.36
"116",1852,"2_43",2,4,3,"RF25-CR",2.325,NA,NA,57.36
"117",1852,"2_44",2,4,4,"RF35-CR",2.325,NA,NA,57.36
"118",1852,"2_51",2,5,1,"RR50-CR",2.325,NA,NA,57.36
"119",1852,"2_52",2,5,2,"RR25-CR",2.325,NA,NA,57.36
"120",1852,"2_53",2,5,3,"RR00-CR",2.325,NA,NA,57.36
"121",1852,"3_1",3,1,NA,"CR",2.325,NA,NA,57.647
"122",1852,"3_2",3,2,NA,"NT-CR",2.352,NA,NA,58.582
"123",1852,"3_3",3,3,NA,"CC-CR",2.366,NA,NA,58.561
"124",1852,"3_41",3,4,1,"RF05-CR",2.325,NA,NA,57.36
"125",1852,"3_42",3,4,2,"RF15-CR",2.325,NA,NA,57.36
"126",1852,"3_43",3,4,3,"RF25-CR",2.325,NA,NA,57.36
"127",1852,"3_44",3,4,4,"RF35-CR",2.325,NA,NA,57.36
"128",1852,"3_51",3,5,1,"RR50-CR",2.325,NA,NA,57.36
"129",1852,"3_52",3,5,2,"RR25-CR",2.325,NA,NA,57.36
"130",1852,"3_53",3,5,3,"RR00-CR",2.325,NA,NA,57.36
"131",1852,"4_1",4,1,NA,"CR",2.325,NA,NA,57.647
"132",1852,"4_2",4,2,NA,"NT-CR",2.352,NA,NA,58.582
"133",1852,"4_3",4,3,NA,"CC-CR",2.366,NA,NA,58.561
"134",1852,"4_41",4,4,1,"RF05-CR",2.325,NA,NA,57.36
"135",1852,"4_42",4,4,2,"RF15-CR",2.325,NA,NA,57.36
"136",1852,"4_43",4,4,3,"RF25-CR",2.325,NA,NA,57.36
"137",1852,"4_44",4,4,4,"RF35-CR",2.325,NA,NA,57.36
"138",1852,"4_51",4,5,1,"RR50-CR",2.325,NA,NA,57.36
"139",1852,"4_52",4,5,2,"RR25-CR",2.325,NA,NA,57.36
"140",1852,"4_53",4,5,3,"RR00-CR",2.325,NA,NA,57.36
"141",1852,"5_1",5,1,NA,"CR",2.325,NA,NA,57.647
"142",1852,"5_2",5,2,NA,"NT-CR",2.352,NA,NA,58.582
"143",1852,"5_3",5,3,NA,"CC-CR",2.366,NA,NA,58.561
"144",1852,"5_41",5,4,1,"RF05-CR",2.325,NA,NA,57.36
"145",1852,"5_42",5,4,2,"RF15-CR",2.325,NA,NA,57.36
"146",1852,"5_43",5,4,3,"RF25-CR",2.325,NA,NA,57.36
"147",1852,"5_44",5,4,4,"RF35-CR",2.325,NA,NA,57.36
"148",1852,"5_51",5,5,1,"RR50-CR",2.325,NA,NA,57.36
"149",1852,"5_52",5,5,2,"RR25-CR",2.325,NA,NA,57.36
"150",1852,"5_53",5,5,3,"RR00-CR",2.325,NA,NA,57.36
"151",1853,"1_1",1,1,NA,"CR",1.958,NA,NA,55.976
"152",1853,"1_2",1,2,NA,"NT-CR",1.915,NA,NA,57.125
"153",1853,"1_3",1,3,NA,"CC-CR",1.959,NA,NA,57.036
"154",1853,"1_41",1,4,1,"RF05-CR",1.958,NA,NA,55.627
"155",1853,"1_42",1,4,2,"RF15-CR",1.958,NA,NA,55.627
"156",1853,"1_43",1,4,3,"RF25-CR",1.958,NA,NA,55.627
"157",1853,"1_44",1,4,4,"RF35-CR",1.958,NA,NA,55.627
"158",1853,"1_51",1,5,1,"RR50-CR",1.958,NA,NA,55.627
"159",1853,"1_52",1,5,2,"RR25-CR",1.958,NA,NA,55.627
"160",1853,"1_53",1,5,3,"RR00-CR",1.958,NA,NA,55.627
"161",1853,"2_1",2,1,NA,"CR",1.958,NA,NA,55.976
"162",1853,"2_2",2,2,NA,"NT-CR",1.915,NA,NA,57.125
"163",1853,"2_3",2,3,NA,"CC-CR",1.959,NA,NA,57.036
"164",1853,"2_41",2,4,1,"RF05-CR",1.958,NA,NA,55.627
"165",1853,"2_42",2,4,2,"RF15-CR",1.958,NA,NA,55.627
"166",1853,"2_43",2,4,3,"RF25-CR",1.958,NA,NA,55.627
"167",1853,"2_44",2,4,4,"RF35-CR",1.958,NA,NA,55.627
"168",1853,"2_51",2,5,1,"RR50-CR",1.958,NA,NA,55.627
"169",1853,"2_52",2,5,2,"RR25-CR",1.958,NA,NA,55.627
"170",1853,"2_53",2,5,3,"RR00-CR",1.958,NA,NA,55.627
"171",1853,"3_1",3,1,NA,"CR",1.958,NA,NA,55.976
"172",1853,"3_2",3,2,NA,"NT-CR",1.915,NA,NA,57.125
"173",1853,"3_3",3,3,NA,"CC-CR",1.959,NA,NA,57.036
"174",1853,"3_41",3,4,1,"RF05-CR",1.958,NA,NA,55.627
"175",1853,"3_42",3,4,2,"RF15-CR",1.958,NA,NA,55.627
"176",1853,"3_43",3,4,3,"RF25-CR",1.958,NA,NA,55.627
"177",1853,"3_44",3,4,4,"RF35-CR",1.958,NA,NA,55.627
"178",1853,"3_51",3,5,1,"RR50-CR",1.958,NA,NA,55.627
"179",1853,"3_52",3,5,2,"RR25-CR",1.958,NA,NA,55.627
"180",1853,"3_53",3,5,3,"RR00-CR",1.958,NA,NA,55.627
"181",1853,"4_1",4,1,NA,"CR",1.958,NA,NA,55.976
"182",1853,"4_2",4,2,NA,"NT-CR",1.915,NA,NA,57.125
"183",1853,"4_3",4,3,NA,"CC-CR",1.959,NA,NA,57.036
"184",1853,"4_41",4,4,1,"RF05-CR",1.958,NA,NA,55.627
"185",1853,"4_42",4,4,2,"RF15-CR",1.958,NA,NA,55.627
"186",1853,"4_43",4,4,3,"RF25-CR",1.958,NA,NA,55.627
"187",1853,"4_44",4,4,4,"RF35-CR",1.958,NA,NA,55.627
"188",1853,"4_51",4,5,1,"RR50-CR",1.958,NA,NA,55.627
"189",1853,"4_52",4,5,2,"RR25-CR",1.958,NA,NA,55.627
"190",1853,"4_53",4,5,3,"RR00-CR",1.958,NA,NA,55.627
"191",1853,"5_1",5,1,NA,"CR",1.958,NA,NA,55.976
"192",1853,"5_2",5,2,NA,"NT-CR",1.915,NA,NA,57.125
"193",1853,"5_3",5,3,NA,"CC-CR",1.959,NA,NA,57.036
"194",1853,"5_41",5,4,1,"RF05-CR",1.958,NA,NA,55.627
"195",1853,"5_42",5,4,2,"RF15-CR",1.958,NA,NA,55.627
"196",1853,"5_43",5,4,3,"RF25-CR",1.958,NA,NA,55.627
"197",1853,"5_44",5,4,4,"RF35-CR",1.958,NA,NA,55.627
"198",1853,"5_51",5,5,1,"RR50-CR",1.958,NA,NA,55.627
"199",1853,"5_52",5,5,2,"RR25-CR",1.958,NA,NA,55.627
"200",1853,"5_53",5,5,3,"RR00-CR",1.958,NA,NA,55.627
"201",1854,"1_1",1,1,NA,"CR",2.208,NA,NA,54.504
"202",1854,"1_2",1,2,NA,"NT-CR",2.294,NA,NA,55.845
"203",1854,"1_3",1,3,NA,"CC-CR",2.275,NA,NA,55.721
"204",1854,"1_41",1,4,1,"RF05-CR",2.208,NA,NA,54.101
"205",1854,"1_42",1,4,2,"RF15-CR",2.208,NA,NA,54.101
"206",1854,"1_43",1,4,3,"RF25-CR",2.208,NA,NA,54.101
"207",1854,"1_44",1,4,4,"RF35-CR",2.208,NA,NA,54.101
"208",1854,"1_51",1,5,1,"RR50-CR",2.208,NA,NA,54.101
"209",1854,"1_52",1,5,2,"RR25-CR",2.208,NA,NA,54.101
"210",1854,"1_53",1,5,3,"RR00-CR",2.208,NA,NA,54.101
"211",1854,"2_1",2,1,NA,"CR",2.208,NA,NA,54.504
"212",1854,"2_2",2,2,NA,"NT-CR",2.294,NA,NA,55.845
"213",1854,"2_3",2,3,NA,"CC-CR",2.275,NA,NA,55.721
"214",1854,"2_41",2,4,1,"RF05-CR",2.208,NA,NA,54.101
"215",1854,"2_42",2,4,2,"RF15-CR",2.208,NA,NA,54.101
"216",1854,"2_43",2,4,3,"RF25-CR",2.208,NA,NA,54.101
"217",1854,"2_44",2,4,4,"RF35-CR",2.208,NA,NA,54.101
"218",1854,"2_51",2,5,1,"RR50-CR",2.208,NA,NA,54.101
"219",1854,"2_52",2,5,2,"RR25-CR",2.208,NA,NA,54.101
"220",1854,"2_53",2,5,3,"RR00-CR",2.208,NA,NA,54.101
"221",1854,"3_1",3,1,NA,"CR",2.208,NA,NA,54.504
"222",1854,"3_2",3,2,NA,"NT-CR",2.294,NA,NA,55.845
"223",1854,"3_3",3,3,NA,"CC-CR",2.275,NA,NA,55.721
"224",1854,"3_41",3,4,1,"RF05-CR",2.208,NA,NA,54.101
"225",1854,"3_42",3,4,2,"RF15-CR",2.208,NA,NA,54.101
"226",1854,"3_43",3,4,3,"RF25-CR",2.208,NA,NA,54.101
"227",1854,"3_44",3,4,4,"RF35-CR",2.208,NA,NA,54.101
"228",1854,"3_51",3,5,1,"RR50-CR",2.208,NA,NA,54.101
"229",1854,"3_52",3,5,2,"RR25-CR",2.208,NA,NA,54.101
"230",1854,"3_53",3,5,3,"RR00-CR",2.208,NA,NA,54.101
"231",1854,"4_1",4,1,NA,"CR",2.208,NA,NA,54.504
"232",1854,"4_2",4,2,NA,"NT-CR",2.294,NA,NA,55.845
"233",1854,"4_3",4,3,NA,"CC-CR",2.275,NA,NA,55.721
"234",1854,"4_41",4,4,1,"RF05-CR",2.208,NA,NA,54.101
"235",1854,"4_42",4,4,2,"RF15-CR",2.208,NA,NA,54.101
"236",1854,"4_43",4,4,3,"RF25-CR",2.208,NA,NA,54.101
"237",1854,"4_44",4,4,4,"RF35-CR",2.208,NA,NA,54.101
"238",1854,"4_51",4,5,1,"RR50-CR",2.208,NA,NA,54.101
"239",1854,"4_52",4,5,2,"RR25-CR",2.208,NA,NA,54.101
"240",1854,"4_53",4,5,3,"RR00-CR",2.208,NA,NA,54.101
"241",1854,"5_1",5,1,NA,"CR",2.208,NA,NA,54.504
"242",1854,"5_2",5,2,NA,"NT-CR",2.294,NA,NA,55.845
"243",1854,"5_3",5,3,NA,"CC-CR",2.275,NA,NA,55.721
"244",1854,"5_41",5,4,1,"RF05-CR",2.208,NA,NA,54.101
"245",1854,"5_42",5,4,2,"RF15-CR",2.208,NA,NA,54.101
"246",1854,"5_43",5,4,3,"RF25-CR",2.208,NA,NA,54.101
"247",1854,"5_44",5,4,4,"RF35-CR",2.208,NA,NA,54.101
"248",1854,"5_51",5,5,1,"RR50-CR",2.208,NA,NA,54.101
"249",1854,"5_52",5,5,2,"RR25-CR",2.208,NA,NA,54.101
"250",1854,"5_53",5,5,3,"RR00-CR",2.208,NA,NA,54.101
"251",1855,"1_1",1,1,NA,"CR",2.068,NA,NA,52.924
"252",1855,"1_2",1,2,NA,"NT-CR",2.175,NA,NA,54.444
"253",1855,"1_3",1,3,NA,"CC-CR",2.148,NA,NA,54.26
"254",1855,"1_41",1,4,1,"RF05-CR",2.068,NA,NA,52.47
"255",1855,"1_42",1,4,2,"RF15-CR",2.068,NA,NA,52.47
"256",1855,"1_43",1,4,3,"RF25-CR",2.068,NA,NA,52.47
"257",1855,"1_44",1,4,4,"RF35-CR",2.068,NA,NA,52.47
"258",1855,"1_51",1,5,1,"RR50-CR",2.068,NA,NA,52.47
"259",1855,"1_52",1,5,2,"RR25-CR",2.068,NA,NA,52.47
"260",1855,"1_53",1,5,3,"RR00-CR",2.068,NA,NA,52.47
"261",1855,"2_1",2,1,NA,"CR",2.068,NA,NA,52.924
"262",1855,"2_2",2,2,NA,"NT-CR",2.175,NA,NA,54.444
"263",1855,"2_3",2,3,NA,"CC-CR",2.148,NA,NA,54.26
"264",1855,"2_41",2,4,1,"RF05-CR",2.068,NA,NA,52.47
"265",1855,"2_42",2,4,2,"RF15-CR",2.068,NA,NA,52.47
"266",1855,"2_43",2,4,3,"RF25-CR",2.068,NA,NA,52.47
"267",1855,"2_44",2,4,4,"RF35-CR",2.068,NA,NA,52.47
"268",1855,"2_51",2,5,1,"RR50-CR",2.068,NA,NA,52.47
"269",1855,"2_52",2,5,2,"RR25-CR",2.068,NA,NA,52.47
"270",1855,"2_53",2,5,3,"RR00-CR",2.068,NA,NA,52.47
"271",1855,"3_1",3,1,NA,"CR",2.068,NA,NA,52.924
"272",1855,"3_2",3,2,NA,"NT-CR",2.175,NA,NA,54.444
"273",1855,"3_3",3,3,NA,"CC-CR",2.148,NA,NA,54.26
"274",1855,"3_41",3,4,1,"RF05-CR",2.068,NA,NA,52.47
"275",1855,"3_42",3,4,2,"RF15-CR",2.068,NA,NA,52.47
"276",1855,"3_43",3,4,3,"RF25-CR",2.068,NA,NA,52.47
"277",1855,"3_44",3,4,4,"RF35-CR",2.068,NA,NA,52.47
"278",1855,"3_51",3,5,1,"RR50-CR",2.068,NA,NA,52.47
"279",1855,"3_52",3,5,2,"RR25-CR",2.068,NA,NA,52.47
"280",1855,"3_53",3,5,3,"RR00-CR",2.068,NA,NA,52.47
"281",1855,"4_1",4,1,NA,"CR",2.068,NA,NA,52.924
"282",1855,"4_2",4,2,NA,"NT-CR",2.175,NA,NA,54.444
"283",1855,"4_3",4,3,NA,"CC-CR",2.148,NA,NA,54.26
"284",1855,"4_41",4,4,1,"RF05-CR",2.068,NA,NA,52.47
"285",1855,"4_42",4,4,2,"RF15-CR",2.068,NA,NA,52.47
"286",1855,"4_43",4,4,3,"RF25-CR",2.068,NA,NA,52.47
"287",1855,"4_44",4,4,4,"RF35-CR",2.068,NA,NA,52.47
"288",1855,"4_51",4,5,1,"RR50-CR",2.068,NA,NA,52.47
"289",1855,"4_52",4,5,2,"RR25-CR",2.068,NA,NA,52.47
"290",1855,"4_53",4,5,3,"RR00-CR",2.068,NA,NA,52.47
"291",1855,"5_1",5,1,NA,"CR",2.068,NA,NA,52.924
"292",1855,"5_2",5,2,NA,"NT-CR",2.175,NA,NA,54.444
"293",1855,"5_3",5,3,NA,"CC-CR",2.148,NA,NA,54.26
"294",1855,"5_41",5,4,1,"RF05-CR",2.068,NA,NA,52.47
"295",1855,"5_42",5,4,2,"RF15-CR",2.068,NA,NA,52.47
"296",1855,"5_43",5,4,3,"RF25-CR",2.068,NA,NA,52.47
"297",1855,"5_44",5,4,4,"RF35-CR",2.068,NA,NA,52.47
"298",1855,"5_51",5,5,1,"RR50-CR",2.068,NA,NA,52.47
"299",1855,"5_52",5,5,2,"RR25-CR",2.068,NA,NA,52.47
"300",1855,"5_53",5,5,3,"RR00-CR",2.068,NA,NA,52.47
"301",1856,"1_1",1,1,NA,"CR",1.826,NA,NA,51.321
"302",1856,"1_2",1,2,NA,"NT-CR",1.797,NA,NA,53.11
"303",1856,"1_3",1,3,NA,"CC-CR",1.829,NA,NA,52.898
"304",1856,"1_41",1,4,1,"RF05-CR",1.826,NA,NA,50.826
"305",1856,"1_42",1,4,2,"RF15-CR",1.826,NA,NA,50.826
"306",1856,"1_43",1,4,3,"RF25-CR",1.826,NA,NA,50.826
"307",1856,"1_44",1,4,4,"RF35-CR",1.826,NA,NA,50.826
"308",1856,"1_51",1,5,1,"RR50-CR",1.826,NA,NA,50.826
"309",1856,"1_52",1,5,2,"RR25-CR",1.826,NA,NA,50.826
"310",1856,"1_53",1,5,3,"RR00-CR",1.826,NA,NA,50.826
"311",1856,"2_1",2,1,NA,"CR",1.826,NA,NA,51.321
"312",1856,"2_2",2,2,NA,"NT-CR",1.797,NA,NA,53.11
"313",1856,"2_3",2,3,NA,"CC-CR",1.829,NA,NA,52.898
"314",1856,"2_41",2,4,1,"RF05-CR",1.826,NA,NA,50.826
"315",1856,"2_42",2,4,2,"RF15-CR",1.826,NA,NA,50.826
"316",1856,"2_43",2,4,3,"RF25-CR",1.826,NA,NA,50.826
"317",1856,"2_44",2,4,4,"RF35-CR",1.826,NA,NA,50.826
"318",1856,"2_51",2,5,1,"RR50-CR",1.826,NA,NA,50.826
"319",1856,"2_52",2,5,2,"RR25-CR",1.826,NA,NA,50.826
"320",1856,"2_53",2,5,3,"RR00-CR",1.826,NA,NA,50.826
"321",1856,"3_1",3,1,NA,"CR",1.826,NA,NA,51.321
"322",1856,"3_2",3,2,NA,"NT-CR",1.797,NA,NA,53.11
"323",1856,"3_3",3,3,NA,"CC-CR",1.829,NA,NA,52.898
"324",1856,"3_41",3,4,1,"RF05-CR",1.826,NA,NA,50.826
"325",1856,"3_42",3,4,2,"RF15-CR",1.826,NA,NA,50.826
"326",1856,"3_43",3,4,3,"RF25-CR",1.826,NA,NA,50.826
"327",1856,"3_44",3,4,4,"RF35-CR",1.826,NA,NA,50.826
"328",1856,"3_51",3,5,1,"RR50-CR",1.826,NA,NA,50.826
"329",1856,"3_52",3,5,2,"RR25-CR",1.826,NA,NA,50.826
"330",1856,"3_53",3,5,3,"RR00-CR",1.826,NA,NA,50.826
"331",1856,"4_1",4,1,NA,"CR",1.826,NA,NA,51.321
"332",1856,"4_2",4,2,NA,"NT-CR",1.797,NA,NA,53.11
"333",1856,"4_3",4,3,NA,"CC-CR",1.829,NA,NA,52.898
"334",1856,"4_41",4,4,1,"RF05-CR",1.826,NA,NA,50.826
"335",1856,"4_42",4,4,2,"RF15-CR",1.826,NA,NA,50.826
"336",1856,"4_43",4,4,3,"RF25-CR",1.826,NA,NA,50.826
"337",1856,"4_44",4,4,4,"RF35-CR",1.826,NA,NA,50.826
"338",1856,"4_51",4,5,1,"RR50-CR",1.826,NA,NA,50.826
"339",1856,"4_52",4,5,2,"RR25-CR",1.826,NA,NA,50.826
"340",1856,"4_53",4,5,3,"RR00-CR",1.826,NA,NA,50.826
"341",1856,"5_1",5,1,NA,"CR",1.826,NA,NA,51.321
"342",1856,"5_2",5,2,NA,"NT-CR",1.797,NA,NA,53.11
"343",1856,"5_3",5,3,NA,"CC-CR",1.829,NA,NA,52.898
"344",1856,"5_41",5,4,1,"RF05-CR",1.826,NA,NA,50.826
"345",1856,"5_42",5,4,2,"RF15-CR",1.826,NA,NA,50.826
"346",1856,"5_43",5,4,3,"RF25-CR",1.826,NA,NA,50.826
"347",1856,"5_44",5,4,4,"RF35-CR",1.826,NA,NA,50.826
"348",1856,"5_51",5,5,1,"RR50-CR",1.826,NA,NA,50.826
"349",1856,"5_52",5,5,2,"RR25-CR",1.826,NA,NA,50.826
"350",1856,"5_53",5,5,3,"RR00-CR",1.826,NA,NA,50.826
"351",1857,"1_1",1,1,NA,"CR",1.922,NA,NA,50.311
"352",1857,"1_2",1,2,NA,"NT-CR",1.969,NA,NA,52.187
"353",1857,"1_3",1,3,NA,"CC-CR",1.969,NA,NA,51.917
"354",1857,"1_41",1,4,1,"RF05-CR",1.922,NA,NA,49.754
"355",1857,"1_42",1,4,2,"RF15-CR",1.922,NA,NA,49.754
"356",1857,"1_43",1,4,3,"RF25-CR",1.922,NA,NA,49.754
